"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051924","GO:0051924","regulation of calcium ion transport","11/176","255/18723",3.05165444852767e-05,0.000783548608879105,0.00060513007510654,"CASK/DMD/NOS1/GRIN1/CRHR1/EPB41/LYN/CAV1/GJA1/SLC30A1/ATP2B1",11
"GO:0030866","GO:0030866","cortical actin cytoskeleton organization","5/176","40/18723",3.49502463598833e-05,0.00088061555314248,0.000680094316771758,"DLG1/EPB41/LLGL1/ARF6/EZR",5
"GO:0055069","GO:0055069","zinc ion homeostasis","5/176","40/18723",3.49502463598833e-05,0.00088061555314248,0.000680094316771758,"LCK/SLC30A1/SLC39A6/SLC39A14/SLC39A10",5
"GO:0032409","GO:0032409","regulation of transporter activity","12/176","310/18723",3.84151533314148e-05,0.000942557447237804,0.000727931684615171,"NLGN1/NLGN2/DLG1/DMD/NOS1/UTRN/NETO1/CRHR1/CAV1/GJA1/ANK3/ITGB1",12
"GO:0010469","GO:0010469","regulation of signaling receptor activity","9/176","173/18723",3.86425969629713e-05,0.000942557447237804,0.000727931684615171,"NLGN1/NLGN2/DLGAP2/DLGAP1/DLGAP4/ZGPAT/NETO1/DLGAP3/ITGB1",9
"GO:0061337","GO:0061337","cardiac conduction","7/176","98/18723",3.87839047759044e-05,0.000942557447237804,0.000727931684615171,"CXADR/CAV1/GJA1/GJD3/DSC2/DSG2/ATP2B1",7
"GO:0061041","GO:0061041","regulation of wound healing","8/176","134/18723",3.96017963693893e-05,0.000942557447237804,0.000727931684615171,"CASK/OCLN/CAV1/GJA1/HRAS/SLC12A2/FERMT2/ITGB1",8
"GO:0035330","GO:0035330","regulation of hippo signaling","4/176","21/18723",3.98559157956638e-05,0.000942557447237804,0.000727931684615171,"WWC1/SHANK2/MARK3/DLG5",4
"GO:0150105","GO:0150105","protein localization to cell-cell junction","4/176","21/18723",3.98559157956638e-05,0.000942557447237804,0.000727931684615171,"MPP7/SCRIB/DLG5/LSR",4
"GO:1902473","GO:1902473","regulation of protein localization to synapse","4/176","21/18723",3.98559157956638e-05,0.000942557447237804,0.000727931684615171,"NLGN1/NLGN2/DLG1/HRAS",4
"GO:1903305","GO:1903305","regulation of regulated secretory pathway","8/176","136/18723",4.40220891395324e-05,0.00103203088974069,0.000797031508631534,"NLGN1/CASK/APBA1/GRIN3A/LYN/LAMP1/STX4/RAB5A",8
"GO:0060048","GO:0060048","cardiac muscle contraction","8/176","137/18723",4.63820863239496e-05,0.00106898129728662,0.000825568095436882,"DLG1/SNTA1/DMD/NOS1/CAV1/GJA1/DSC2/DSG2",8
"GO:0032412","GO:0032412","regulation of ion transmembrane transporter activity","11/176","267/18723",4.63912506611777e-05,0.00106898129728662,0.000825568095436882,"NLGN1/NLGN2/DLG1/DMD/NOS1/UTRN/NETO1/CRHR1/CAV1/ANK3/ITGB1",11
"GO:0098815","GO:0098815","modulation of excitatory postsynaptic potential","5/176","43/18723",4.99772212767272e-05,0.00114185244544116,0.000881846063205766,"NLGN1/NLGN2/MTMR2/GRIN1/NETO1",5
"GO:0006941","GO:0006941","striated muscle contraction","9/176","179/18723",5.04196881420188e-05,0.00114228133807464,0.000882177294514933,"DLG1/SNTA1/DMD/NOS1/DTNA/CAV1/GJA1/DSC2/DSG2",9
"GO:0008542","GO:0008542","visual learning","5/176","44/18723",5.5958249572907e-05,0.00123658558072588,0.000955007917646333,"GRIN2A/GRIN1/NETO1/KRAS/ITGB1",5
"GO:0031295","GO:0031295","T cell costimulation","5/176","44/18723",5.5958249572907e-05,0.00123658558072588,0.000955007917646333,"LYN/CAV1/LCK/EFNB1/YES1",5
"GO:0097178","GO:0097178","ruffle assembly","5/176","44/18723",5.5958249572907e-05,0.00123658558072588,0.000955007917646333,"NLGN1/ARHGEF26/CAV1/HRAS/ARF6",5
"GO:0046942","GO:0046942","carboxylic acid transport","11/176","273/18723",5.66985451075602e-05,0.0012390731629294,0.000956929063046367,"APBA1/GJA1/SLC19A1/SLC6A8/SLC38A2/SLC6A15/SLC12A2/SLC7A5/SLC38A1/SLC3A2/ITGB1",11
"GO:0060401","GO:0060401","cytosolic calcium ion transport","9/176","182/18723",5.73621070265764e-05,0.0012390731629294,0.000956929063046367,"GRIN2A/DMD/NOS1/GRIN1/GRIN2C/LYN/CAV1/LCK/ATP2B1",9
"GO:0072503","GO:0072503","cellular divalent inorganic cation homeostasis","15/176","486/18723",5.74496088153469e-05,0.0012390731629294,0.000956929063046367,"GRIN2A/DMD/NOS1/ADRA1D/GRIN1/GRIN2C/LYN/CAV1/GJA1/LCK/SLC30A1/ATP2B1/SLC39A6/SLC39A14/SLC39A10",15
"GO:0001736","GO:0001736","establishment of planar polarity","6/176","72/18723",5.92148601611451e-05,0.00125703356688541,0.000970799779517157,"DLG3/ERBB4/MAGI2/VANGL2/VANGL1/ROR2",6
"GO:0007164","GO:0007164","establishment of tissue polarity","6/176","72/18723",5.92148601611451e-05,0.00125703356688541,0.000970799779517157,"DLG3/ERBB4/MAGI2/VANGL2/VANGL1/ROR2",6
"GO:0086003","GO:0086003","cardiac muscle cell contraction","6/176","73/18723",6.40195812166494e-05,0.00134841242937568,0.00104137114840899,"DLG1/SNTA1/CAV1/GJA1/DSC2/DSG2",6
"GO:0036010","GO:0036010","protein localization to endosome","4/176","24/18723",6.92201454704442e-05,0.00143168998446369,0.00110568592428127,"SCRIB/RAB35/ARF6/EZR",4
"GO:0071577","GO:0071577","zinc ion transmembrane transport","4/176","24/18723",6.92201454704442e-05,0.00143168998446369,0.00110568592428127,"SLC30A1/SLC39A6/SLC39A14/SLC39A10",4
"GO:0031294","GO:0031294","lymphocyte costimulation","5/176","46/18723",6.95665385625904e-05,0.00143168998446369,0.00110568592428127,"LYN/CAV1/LCK/EFNB1/YES1",5
"GO:0140029","GO:0140029","exocytic process","6/176","76/18723",8.03282548534194e-05,0.00164064375064257,0.00126705971371662,"NLGN1/LYN/SCRIB/SNAP23/STX4/YKT6",6
"GO:0031579","GO:0031579","membrane raft organization","4/176","25/18723",8.18024553001554e-05,0.00165819112397909,0.00128061144902024,"DLG1/FLOT1/CAV1/FLOT2",4
"GO:0015804","GO:0015804","neutral amino acid transport","5/176","48/18723",8.55921710916625e-05,0.00172206338256061,0.0013299396262318,"SLC38A2/SLC6A15/SLC7A5/SLC38A1/SLC3A2",5
"GO:0055117","GO:0055117","regulation of cardiac muscle contraction","6/176","77/18723",8.64443531972424e-05,0.00172632574977604,0.00133323142786858,"DLG1/DMD/NOS1/CAV1/DSC2/DSG2",6
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","14/176","448/18723",8.95376485541019e-05,0.00177495220957249,0.00137078536253881,"DLG1/KIF26B/DUSP10/FLOT1/LYN/SCRIB/CAV1/LCK/DLG5/ANK3/EFNB1/CDH1/FLOT2/YES1",14
"GO:0030953","GO:0030953","astral microtubule organization","3/176","10/18723",9.33484647963275e-05,0.00182367725428188,0.00140841543376915,"DLG1/EZR/RAB11A",3
"GO:0051660","GO:0051660","establishment of centrosome localization","3/176","10/18723",9.33484647963275e-05,0.00182367725428188,0.00140841543376915,"DLG1/PARD3/EZR",3
"GO:0048168","GO:0048168","regulation of neuronal synaptic plasticity","5/176","49/18723",9.45985641984194e-05,0.0018348038063233,0.00141700840578927,"NETO1/KRAS/HRAS/RAB11A/RAB5A",5
"GO:0006813","GO:0006813","potassium ion transport","10/176","241/18723",9.72083671737271e-05,0.00187195541357406,0.00144570037796716,"DLG1/KCNJ12/KCNJ4/KCNA4/NOS1/NETO1/CAV1/SLC12A2/ANK3/ITGB1",10
"GO:0003012","GO:0003012","muscle system process","14/176","452/18723",9.83401410960907e-05,0.00188031929358199,0.00145215975429688,"DLG1/KCNJ12/SNTA1/DMD/SNTB1/NOS1/UTRN/DTNA/CAV1/GJA1/SLC6A8/DSC2/DSG2/ATP2B1",14
"GO:0007632","GO:0007632","visual behavior","5/176","50/18723",0.000104315722090035,0.00198052948418827,0.00152955150699844,"GRIN2A/GRIN1/NETO1/KRAS/ITGB1",5
"GO:0008360","GO:0008360","regulation of cell shape","8/176","154/18723",0.000105747589837373,0.00199367484057034,0.00153970358997662,"DLG1/EPB41/FAM171A1/RHOB/MARK2/PALM/EZR/FERMT2",8
"GO:0006898","GO:0006898","receptor-mediated endocytosis","10/176","244/18723",0.000107641801126807,0.00201529372109633,0.00155639972681889,"MTMR2/MAGI2/FLOT1/SCRIB/CAV1/NUMB/ARF6/EZR/RAB5A/ITGB1",10
"GO:0035235","GO:0035235","ionotropic glutamate receptor signaling pathway","4/176","27/18723",0.000111836052173595,0.00206513696342473,0.00159489337562632,"GRIN2A/GRIN1/GRIN3A/GRIN2C",4
"GO:2000463","GO:2000463","positive regulation of excitatory postsynaptic potential","4/176","27/18723",0.000111836052173595,0.00206513696342473,0.00159489337562632,"NLGN1/NLGN2/GRIN1/NETO1",4
"GO:0048013","GO:0048013","ephrin receptor signaling pathway","5/176","51/18723",0.000114781126411939,0.00210510147487474,0.00162575773750673,"LYN/EFNB2/EFNB1/EPHA2/YES1",5
"GO:0001765","GO:0001765","membrane raft assembly","3/176","11/18723",0.000127467152356279,0.00226110443654832,0.00174623792577408,"FLOT1/CAV1/FLOT2",3
"GO:0035090","GO:0035090","maintenance of apical/basal cell polarity","3/176","11/18723",0.000127467152356279,0.00226110443654832,0.00174623792577408,"LIN7A/LIN7B/LIN7C",3
"GO:0045199","GO:0045199","maintenance of epithelial cell apical/basal polarity","3/176","11/18723",0.000127467152356279,0.00226110443654832,0.00174623792577408,"LIN7A/LIN7B/LIN7C",3
"GO:0046710","GO:0046710","GDP metabolic process","3/176","11/18723",0.000127467152356279,0.00226110443654832,0.00174623792577408,"DLG2/DLG1/CASK",3
"GO:0017157","GO:0017157","regulation of exocytosis","9/176","202/18723",0.000127480665562071,0.00226110443654832,0.00174623792577408,"NLGN1/CASK/APBA1/GRIN3A/LYN/LAMP1/STX4/RAB5A/RAB9A",9
"GO:0006829","GO:0006829","zinc ion transport","4/176","28/18723",0.000129522255081485,0.00228230065163192,0.00176260764053098,"SLC30A1/SLC39A6/SLC39A14/SLC39A10",4
"GO:0015711","GO:0015711","organic anion transport","12/176","354/18723",0.00013590019260156,0.00237913583931042,0.00183739289792129,"APBA1/GJA1/SLC19A1/SLC6A8/SLC38A2/SLC6A15/SLC12A2/SLC4A7/SLC7A5/SLC38A1/SLC3A2/ITGB1",12
"GO:0035637","GO:0035637","multicellular organismal signaling","8/176","160/18723",0.000137863309959442,0.00238256079263241,0.00184003796963412,"CXADR/CAV1/GJA1/GJD3/DSC2/DSG2/ATP2B1/ANK3",8
"GO:0060402","GO:0060402","calcium ion transport into cytosol","8/176","160/18723",0.000137863309959442,0.00238256079263241,0.00184003796963412,"GRIN2A/DMD/NOS1/GRIN1/GRIN2C/LYN/CAV1/LCK",8
"GO:2000300","GO:2000300","regulation of synaptic vesicle exocytosis","5/176","54/18723",0.00015105573485535,0.00259392523038231,0.00200327350683126,"NLGN1/CASK/APBA1/GRIN3A/RAB5A",5
"GO:0043547","GO:0043547","positive regulation of GTPase activity","10/176","255/18723",0.000154395950052957,0.00263450304647324,0.00203461152035143,"ARHGEF26/ADRB1/USP6NL/PKP4/SCRIB/HRAS/MAP4K4/EPHA2/FERMT2/ITGB1",10
"GO:0046928","GO:0046928","regulation of neurotransmitter secretion","6/176","86/18723",0.000159882901814385,0.00271097046095334,0.00209366686387854,"NLGN1/CASK/APBA1/GRIN3A/SLC30A1/RAB5A",6
"GO:0098900","GO:0098900","regulation of action potential","5/176","55/18723",0.000164907660409876,0.00277869407790641,0.00214596942296536,"DLG1/CXADR/CAV1/DSC2/DSG2",5
"GO:0002090","GO:0002090","regulation of receptor internalization","5/176","56/18723",0.000179709175305885,0.00300929153183022,0.0023240585077152,"MTMR2/MAGI2/FLOT1/SCRIB/NUMB",5
"GO:0010232","GO:0010232","vascular transport","6/176","88/18723",0.000181462473676674,0.0030198940063723,0.0023322467377028,"GJA1/SLC19A1/SLC38A2/SLC12A2/SLC7A5/SLC38A1",6
"GO:0070588","GO:0070588","calcium ion transmembrane transport","11/176","312/18723",0.000184491624833617,0.00304281197108478,0.00234994614977577,"GRIN2A/DMD/NOS1/GRIN1/GRIN3A/CRHR1/GRIN2C/LYN/LCK/ATP2B1/PANX1",11
"GO:1903034","GO:1903034","regulation of response to wounding","8/176","167/18723",0.000185096870644623,0.00304281197108478,0.00234994614977577,"CASK/OCLN/CAV1/GJA1/HRAS/SLC12A2/FERMT2/ITGB1",8
"GO:0034109","GO:0034109","homotypic cell-cell adhesion","6/176","90/18723",0.000205279522935333,0.00335414299293126,0.0025903853037709,"LYN/CXADR/DSC2/DSG2/ANK3/CD99",6
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","12/176","371/18723",0.000209755418406919,0.00340663016882562,0.00263092084723453,"DLG1/DUSP10/LYN/SCRIB/CAV1/LCK/DLG5/EZR/EFNB1/FLOT2/YES1/ITGB1",12
"GO:0086065","GO:0086065","cell communication involved in cardiac conduction","5/176","58/18723",0.000212333716511681,0.00342785448931433,0.00264731226763382,"CXADR/CAV1/GJA1/DSC2/DSG2",5
"GO:0072337","GO:0072337","modified amino acid transport","4/176","32/18723",0.000220908392851357,0.00354505373290035,0.00273782456804501,"GJA1/SLC19A1/SLC6A8/SLC38A2",4
"GO:0071805","GO:0071805","potassium ion transmembrane transport","9/176","219/18723",0.000233600155778581,0.00372654449691748,0.00287798883917803,"DLG1/KCNJ12/KCNJ4/KCNA4/NETO1/CAV1/SLC12A2/ANK3/ITGB1",9
"GO:0051648","GO:0051648","vesicle localization","8/176","177/18723",0.000274963171379485,0.00434651635392079,0.00335678953149123,"NLGN1/NLGN2/LIN7A/F8A1/SCRIB/SNAP23/RAB11A/YKT6",8
"GO:0006942","GO:0006942","regulation of striated muscle contraction","6/176","95/18723",0.000275687795445273,0.00434651635392079,0.00335678953149123,"DLG1/DMD/NOS1/CAV1/DSC2/DSG2",6
"GO:0086004","GO:0086004","regulation of cardiac muscle cell contraction","4/176","34/18723",0.000280754823285927,0.00440066862545849,0.00339861101872438,"DLG1/CAV1/DSC2/DSG2",4
"GO:0043270","GO:0043270","positive regulation of ion transport","10/176","275/18723",0.00028347518324069,0.00441762482090693,0.00341170619075196,"DLG1/CASK/DMD/NOS1/GRIN1/CAV1/SLC12A2/ATP2B1/ANK3/ITGB1",10
"GO:0046847","GO:0046847","filopodium assembly","5/176","62/18723",0.000290925868386095,0.00450767897223513,0.00348125449284753,"NLGN1/PALM/ARF6/EZR/RAB5A",5
"GO:0007416","GO:0007416","synapse assembly","8/176","179/18723",0.000296635155983083,0.00456987646017366,0.00352928925434308,"NLGN1/NLGN2/ERBB4/SHANK2/DLG5/EFNB2/ARF6/CDH1",8
"GO:0098876","GO:0098876","vesicle-mediated transport to the plasma membrane","7/176","136/18723",0.000303579885984288,0.00465029188985023,0.00359139362725432,"SCRIB/RAB35/LLGL1/STX6/ARF6/ANK3/RAB11A",7
"GO:0070252","GO:0070252","actin-mediated cell contraction","6/176","97/18723",0.000308650536971901,0.00470125337670194,0.00363075088986274,"DLG1/SNTA1/CAV1/GJA1/DSC2/DSG2",6
"GO:0003333","GO:0003333","amino acid transmembrane transport","6/176","98/18723",0.000326250534723812,0.00494141259334493,0.0038162244688569,"SLC38A2/SLC6A15/SLC7A5/SLC38A1/SLC3A2/ITGB1",6
"GO:0060291","GO:0060291","long-term synaptic potentiation","6/176","99/18723",0.000344627487850251,0.00518242241748173,0.00400235496711653,"NLGN1/GRIN2A/MPP2/SHANK2/GRIN2C/STX4",6
"GO:1903532","GO:1903532","positive regulation of secretion by cell","10/176","282/18723",0.00034600743143424,0.00518242241748173,0.00400235496711653,"NLGN1/NLGN2/GJA1/ARF6/LAMP1/STX4/SLC12A2/EZR/RAB5A/RAB9A",10
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","10/176","284/18723",0.00036585366393581,0.00544940043077869,0.00420854054821188,"KIF26B/DUSP10/FLOT1/LYN/CAV1/LCK/ANK3/EFNB1/FLOT2/YES1",10
"GO:0035296","GO:0035296","regulation of tube diameter","7/176","141/18723",0.000377985606669553,0.00556857483924107,0.00430057825707436,"SNTA1/NOS1/ADRA1D/ADRB1/CAV1/GJA1/ATP2B1",7
"GO:0097746","GO:0097746","blood vessel diameter maintenance","7/176","141/18723",0.000377985606669553,0.00556857483924107,0.00430057825707436,"SNTA1/NOS1/ADRA1D/ADRB1/CAV1/GJA1/ATP2B1",7
"GO:0120032","GO:0120032","regulation of plasma membrane bounded cell projection assembly","8/176","186/18723",0.000383760493022455,0.00562292548472032,0.00434255294735936,"NLGN1/OCLN/CAV1/PALM/HRAS/ARF6/EPHA2/RAB5A",8
"GO:0019229","GO:0019229","regulation of vasoconstriction","5/176","66/18723",0.000389822972204702,0.00568087963818312,0.00438731060609332,"SNTA1/ADRA1D/CAV1/GJA1/ATP2B1",5
"GO:0035150","GO:0035150","regulation of tube size","7/176","142/18723",0.000394482825525816,0.00568730319581604,0.00439227148263475,"SNTA1/NOS1/ADRA1D/ADRB1/CAV1/GJA1/ATP2B1",7
"GO:0097553","GO:0097553","calcium ion transmembrane import into cytosol","7/176","142/18723",0.000394482825525816,0.00568730319581604,0.00439227148263475,"GRIN2A/DMD/NOS1/GRIN1/GRIN2C/LYN/LCK",7
"GO:0060491","GO:0060491","regulation of cell projection assembly","8/176","188/18723",0.0004121539546631,0.00586789831350004,0.00453174405126624,"NLGN1/OCLN/CAV1/PALM/HRAS/ARF6/EPHA2/RAB5A",8
"GO:0010649","GO:0010649","regulation of cell communication by electrical coupling","3/176","16/18723",0.000417891868023742,0.00586789831350004,0.00453174405126624,"CAV1/GJA1/ANK3",3
"GO:0017014","GO:0017014","protein nitrosylation","3/176","16/18723",0.000417891868023742,0.00586789831350004,0.00453174405126624,"SNTA1/DMD/NOS1",3
"GO:0018119","GO:0018119","peptidyl-cysteine S-nitrosylation","3/176","16/18723",0.000417891868023742,0.00586789831350004,0.00453174405126624,"SNTA1/DMD/NOS1",3
"GO:0046037","GO:0046037","GMP metabolic process","3/176","16/18723",0.000417891868023742,0.00586789831350004,0.00453174405126624,"DLG2/DLG1/CASK",3
"GO:0046578","GO:0046578","regulation of Ras protein signal transduction","8/176","189/18723",0.000426978279808572,0.00596442198116016,0.00460628872354162,"FLOT1/KRAS/PSD3/HRAS/ARF6/MAP4K4/SPRY4/ITGB1",8
"GO:0046718","GO:0046718","viral entry into host cell","7/176","144/18723",0.000429205036061136,0.00596462256299393,0.0046064436317359,"CXADR/CAV1/EFNB2/LAMP1/EPHA2/SLC3A2/ITGB1",7
"GO:1901016","GO:1901016","regulation of potassium ion transmembrane transporter activity","5/176","68/18723",0.000447875215340745,0.00619216195158281,0.00478217099025098,"DLG1/NETO1/CAV1/ANK3/ITGB1",5
"GO:0043087","GO:0043087","regulation of GTPase activity","11/176","348/18723",0.000467422335690613,0.00642944192358109,0.00496542094519889,"ARHGEF26/ADRB1/USP6NL/PKP4/SCRIB/HRAS/RASAL2/MAP4K4/EPHA2/FERMT2/ITGB1",11
"GO:0015807","GO:0015807","L-amino acid transport","5/176","69/18723",0.000479232430590121,0.00653655853128064,0.00504814648402042,"SLC38A2/SLC7A5/SLC38A1/SLC3A2/ITGB1",5
"GO:1903115","GO:1903115","regulation of actin filament-based movement","4/176","39/18723",0.000480058823884854,0.00653655853128064,0.00504814648402042,"DLG1/CAV1/DSC2/DSG2",4
"GO:0061564","GO:0061564","axon development","13/176","467/18723",0.000487118504645293,0.00659935421368699,0.00509664322765612,"CTNNA1/FLOT1/PARD3/MARK2/LLGL1/UNC5B/EFNB2/NUMB/ANK3/RAB11A/EFNB1/EPHA2/ITGB1",13
"GO:0051580","GO:0051580","regulation of neurotransmitter uptake","3/176","17/18723",0.000503942561301689,0.00679314572634677,0.00524630729607758,"NOS1/FLOT1/ITGB1",3
"GO:0051480","GO:0051480","regulation of cytosolic calcium ion concentration","11/176","353/18723",0.00052645481560253,0.00703057591936369,0.00542967326585248,"GRIN2A/DMD/NOS1/ADRA1D/GRIN1/GRIN2C/LYN/CAV1/GJA1/LCK/ATP2B1",11
"GO:1905039","GO:1905039","carboxylic acid transmembrane transport","7/176","149/18723",0.000526771637875172,0.00703057591936369,0.00542967326585248,"SLC19A1/SLC38A2/SLC6A15/SLC7A5/SLC38A1/SLC3A2/ITGB1",7
"GO:0035329","GO:0035329","hippo signaling","4/176","40/18723",0.00052951533249874,0.00703238096756947,0.00543106729417945,"WWC1/SHANK2/MARK3/DLG5",4
"GO:1903825","GO:1903825","organic acid transmembrane transport","7/176","150/18723",0.000548250335721208,0.00724550443678616,0.00559566132124123,"SLC19A1/SLC38A2/SLC6A15/SLC7A5/SLC38A1/SLC3A2/ITGB1",7
"GO:0044409","GO:0044409","entry into host","7/176","151/18723",0.00057042039638041,0.00750172384703212,0.00579353809520128,"CXADR/CAV1/EFNB2/LAMP1/EPHA2/SLC3A2/ITGB1",7
"GO:0043266","GO:0043266","regulation of potassium ion transport","6/176","109/18723",0.000576564970692999,0.0075457240824676,0.00582751922345811,"DLG1/NOS1/NETO1/CAV1/ANK3/ITGB1",6
"GO:0099558","GO:0099558","maintenance of synapse structure","3/176","18/18723",0.000600564741261216,0.00782184803111227,0.00604076815771516,"DLG3/DLG1/ARF6",3
"GO:0048259","GO:0048259","regulation of receptor-mediated endocytosis","6/176","110/18723",0.0006051450525336,0.00782274060885031,0.00604145749035839,"MTMR2/MAGI2/FLOT1/SCRIB/NUMB/ARF6",6
"GO:0015849","GO:0015849","organic acid transport","10/176","303/18723",0.000606436493786986,0.00782274060885031,0.00604145749035839,"APBA1/GJA1/SLC19A1/SLC38A2/SLC6A15/SLC12A2/SLC7A5/SLC38A1/SLC3A2/ITGB1",10
"GO:0007409","GO:0007409","axonogenesis","12/176","418/18723",0.000612588508872699,0.00786446961867046,0.0060736845641614,"FLOT1/PARD3/MARK2/LLGL1/UNC5B/EFNB2/NUMB/ANK3/RAB11A/EFNB1/EPHA2/ITGB1",12
"GO:0032456","GO:0032456","endocytic recycling","5/176","73/18723",0.000621446558574517,0.00794037877685734,0.00613230876957044,"SCRIB/RAB35/STX6/ARF6/RAB11A",5
"GO:0042060","GO:0042060","wound healing","12/176","422/18723",0.000665932585098931,0.00846865211993735,0.0065402912280322,"CASK/OCLN/LYN/SCRIB/CAV1/GJA1/LCK/HRAS/SLC12A2/LMAN1/FERMT2/ITGB1",12
"GO:0001504","GO:0001504","neurotransmitter uptake","4/176","43/18723",0.000699544712978129,0.00884342164915584,0.00682972357567947,"NOS1/FLOT1/SLC38A1/ITGB1",4
"GO:0036465","GO:0036465","synaptic vesicle recycling","5/176","75/18723",0.000703391419906214,0.00884342164915584,0.00682972357567947,"NLGN1/NLGN2/SCRIB/ARF6/RAB5A",5
"GO:0070372","GO:0070372","regulation of ERK1 and ERK2 cascade","10/176","309/18723",0.000705243195314727,0.00884342164915584,0.00682972357567947,"DLG1/ERBB4/DUSP10/LYN/FRS2/HRAS/EZR/EPHA2/SPRY4/FERMT2",10
"GO:0051047","GO:0051047","positive regulation of secretion","10/176","310/18723",0.000722935163107436,0.00902330185063726,0.0069686440186477,"NLGN1/NLGN2/GJA1/ARF6/LAMP1/STX4/SLC12A2/EZR/RAB5A/RAB9A",10
